ID,Theme,Area,Story,Acceptance notes,Technical notes,Phase,Depends on,Coach feedback
CX-001,Cross-cutting,Student profile,"As a student, I want my profile to show my current belt, stripes, and date of last grading, so I have an at-a-glance view of where I am.","Belt options: white/blue/purple/brown/black (coral colours optional); Stripes: 0-4; Last graded date is a single nullable date.","New columns on users table: belt (TEXT), stripes (INTEGER), last_graded_at (TIMESTAMP). Read-only for student; surface on profile header.",v1,,
CX-002,Cross-cutting,Student profile,"As a coach, I want to set and update a student's belt, stripes, and last grading date from their profile.",Setting belt or stripes does not auto-set last_graded_at; coach updates that explicitly when a grading happens.,Admin/coach-only mutation endpoint. Audit who set the rank if useful later.,v1,CX-001,
CX-003,Cross-cutting,Activity feed,"As a student or coach, I want the student profile to default-open on an activity feed showing the top-level items (techniques, camps, matches, profile threads) ordered by their most-recent activity.","Each top-level item appears at most once in the feed; multiple activities on the same item collapse into one row showing the latest one (e.g. ""Sam watched 'X-guard sweep' 2 hours ago""). Activity that bumps an item to the top includes: comments, replies, video uploads, video watches, status changes, pin events, new threads anchored to it. Rank changes are one-off feed items that don't dedupe. Default tab is Activity; other tabs (Syllabus / Pinned / Camps / My matches) sit alongside.","Per-(viewer, profile_owner) feed query joins activity events to their top-level item and returns one row per item with the latest-activity timestamp + preview. Watch events join via videos.parent_kind/parent_id (see technical notes section 1). See technical notes section 7 for the item taxonomy.",v1,,
CX-004,Cross-cutting,Activity feed,"As a student or coach, I want to filter the activity feed by item type (techniques / camps / matches / profile threads / one-off events like rank changes).","Chips at the top; multi-select OR semantics like existing tag chips on the syllabus view. ""One-off events"" filter covers things that don't dedupe (rank changes etc).",Server takes optional item_kind[] filter param; mirrors existing chip pattern on student-techniques page.,v1,CX-003,
CX-005,Cross-cutting,Activity feed,"As a student or coach, I want to search the activity feed by free text across technique names, camp details, and comment bodies.",Plain substring match is fine for v1; no fuzzy/typo tolerance needed.,"SQLite FTS5 over a denormalised search column, or simple LIKE if volume is small. Decide based on size.",v1 nice-to-have,CX-003,
CX-006,Cross-cutting,Threads,"As a student or coach, I want to start a thread on a student's profile to ask a question or kick off a conversation, not anchored to any video.","Body supports text, @-mentions, video reply attachments.",New thread entity. parent_kind=profile.,v1,,
CX-007,Cross-cutting,Threads,"As a student or coach, I want to reply to any thread inline.",Reply visibility inherits parent thread's visibility scope.,Comment table FK parent_thread_id and optional parent_comment_id.,v1,CX-006,
CX-008,Cross-cutting,Threads,"As a coach, I want to record a fresh video reply within a thread, OR upload a video I've already recorded.","Both flows land in the same reply slot in the thread. Recording uses the device camera; upload picks a file or comes from the device gallery.",Reply video uses the standard upload pipeline. Mark video as scope=thread to skip global promotion prompts.,v1,CX-007,
CX-009,Cross-cutting,Threads,"As a student with Footage Submitter permission, I want to record or upload a video reply within a thread.","Same constraints as CX-008. Without Footage Submitter, student can only reply with text.",Gated by new Permission::SubmitFootage.,v1,CX-008;CC-025,
CX-010,Cross-cutting,Threads,"As a coach or student, I want video replies to support text comments within the thread but not be able to spawn new top-level threads of their own.",Avoids endless reply chains. Video replies still support comments inside the parent thread.,Enforce at API: only original thread anchors accept new thread creation.,v1,CX-008,
CX-011,Cross-cutting,@-mentions,"As a coach or student, I want to @-mention a technique in a comment and have it inline as a tappable card.",Mention syntax in body; renders as card on display with name + description preview.,"Store mentions as structured tokens in body, e.g. {""type"":""technique"",""id"":42}, alongside plain text.",v1,,
CX-012,Cross-cutting,@-mentions,"As a coach or student, I want to @-mention a specific video (optionally at a timestamp) and have it inline as a playable card.","Picker is categorized so the author can find the video by where it lives: techniques in the library (with their attached videos), raw uploaded videos (loose / profile / camp), camp videos, match videos. Searchable by name/title.","Same structured-token storage. Video mention may include a timestamp_seconds field. Picker pulls from a unified video index across all parent kinds.",v1,CX-011,
CX-013,Cross-cutting,@-mentions,"As a coach, when I @-mention a video that's hidden from the recipient student (globally, or for them in their syllabus), I want the app to prompt me with the right unhide action before publishing.","Prompt copy varies by hide source. Globally hidden: ""This student can't see this video because it is hidden globally. Unhide globally?"" (affects every student). Hidden for them in their syllabus: ""This student can't see this video because it is hidden for them. Unhide for them?"" (only this student). Confirm performs the corresponding unhide; Cancel publishes the @-mention without acting (recipient sees a no-access card per CX-014).","Pre-publish check: query videos.hidden_at first, then the syllabus-scoped per-student visibility (CX-019). Branch the prompt on which is the blocker. If both apply, surface the global option first since it's the bigger lever.",v1,CX-012;CX-019,
CX-014,Cross-cutting,@-mentions,"As a student, when I @-mention a video I can't personally see, the mention is published without granting me visibility.","Asymmetric by design: students don't auto-grant themselves access. May rarely trigger in practice, but included for exhaustive coverage.",Skip the visibility-grant prompt for student authors.,v1 nice-to-have,CX-013,
CX-015,Cross-cutting,Activity feed,"As any coach, I want to view the activity feed of any student in the gym.",No per-coach gating in v1; substitute teaching makes per-coach scoping noisy.,Coach role has read-all on student activity. Revisit if we add multi-tenancy.,v1,CX-003,
CX-016,Cross-cutting,Reactions,"As a coach or student, I want to add emoji reactions (e.g. 👍 ✅ 🔥) to a comment, thread, or video reply.",Multiple emoji choices; reactions visible to everyone who can see the parent.,New reactions table. Defer until v1 ships and we see if friction is real.,phase-2,CX-007,
CX-017,Cross-cutting,Privacy,"As a student, I want to opt out of letting coaches see my video watch activity.",Default is opt-in (visible to coaches). Toggle on profile.,Add opt_out flag on users. Filter watch event aggregates in coach-facing queries when set.,phase-2,,
CX-018,Cross-cutting,Promotion workflows,"As a coach, I want to upload a video unattached to anything (loose) and later attach it to a camp / technique / match.","Loose videos surface as suggestions in the categorized picker (CX-012) and in promotion flows. Coach can filter/search by what they remember (date uploaded, who uploaded, body of any associated thread).","video.parent_kind nullable; promotion endpoint sets parent_kind + parent_id later. Loose video index needs metadata good enough for context-driven search.",v1,,
CX-019,Cross-cutting,Visibility model,"As a coach, I want per-student video visibility overrides to be context-scoped (the syllabus has its own override layer, each camp has its own override layer), so that hiding a video for a student in one context doesn't ripple into other contexts.","Library browse: only global hide applies; no per-student overrides. Syllabus view: global hide + the syllabus-scoped per-student override layer. Each camp view: global hide + that camp's per-student override layer (see CC-015). The same student can have a video hidden in their syllabus but visible inside a camp, and vice versa.","Refactor: today's video_student_visibility becomes the syllabus-scoped layer (rename + constrain query usage to syllabus context). camp_video_visibility (CC-015) is the camp-scoped layer. Library / thread / pinned contexts query only videos.hidden_at.",v1,,
CX-020,Cross-cutting,Syllabus view,"As a student or coach, I want the syllabus to live in its own dedicated tab on the student profile (with its own status / attempts / notes), not be the default mixed view.","Syllabus becomes one tab among Activity / Syllabus / Pinned / Camps. The current default-landing-on-technique-list behaviour moves to the Syllabus tab.","Move existing student-techniques page to a tab. Activity feed becomes the default. Existing deep-link routes (e.g. /student/<id>?focus=) still work, just land on the Syllabus tab.",v1,CX-003,
CX-021,Cross-cutting,Threads,"As a coach or student, I want syllabus attempts to support inline threads (with @-mentions and video replies) instead of just free-text notes.","Phase-2 unification: any attempt has a thread underneath it like any other anchorable item.",Replace attempt.note field with a thread attached to the attempt. Migration of existing notes into a seed comment.,phase-2,CX-007;CX-020,
CX-022,Cross-cutting,Threads,"As a coach or student, I want a syllabus-scoped thread to exist on the technique itself (not just on individual attempts), so we can have a running conversation about the technique within the syllabus context.","The technique-level thread is visible in the syllabus view by default. When the student views the same technique from the global library or their pinned list, the syllabus thread surfaces alongside it under the syllabus-context section, governed by the same toggle as SD-008/SD-009.","Thread.parent_kind=syllabus_technique anchored to (student_id, technique_id). Same syllabus-context surfacing logic that drives SD-008.",phase-2,CX-007;SD-008;SD-009,
CX-023,Cross-cutting,Moderation,"As a coach or admin, I want to delete any student comment or thread, so I can moderate inappropriate content, fix mistakes, or remove abuse.","Soft delete by default: the comment/thread is replaced by a ""deleted by <coach/admin>"" placeholder so replies still make sense in context. The original author is notified. Hard delete (full removal) available to admin only.","Add deleted_at + deleted_by_id columns on threads and comments. Cascade behaviour on replies: keep them with a stub parent reference, don't cascade-delete.",v1,CX-006;CX-007,
CX-024,Cross-cutting,Moderation,"As a coach or admin, I want to delete any student-uploaded video, so I can manage storage costs and moderate inappropriate content.","Soft delete via existing videos.deleted_at mechanism. Watch history preserved. Threads attached to the video timestamp survive but the video card shows ""deleted"". Hard delete + storage reclaim is a separate admin flow if needed.","Existing videos.deleted_at column already supports this. Add coach moderation endpoint that flips it and records who/when.",v1,,
CX-025,Cross-cutting,Notifications,"As a student or coach, I want in-app notifications when someone replies to my thread/comment or @-mentions me, so I don't miss conversations.","Count badge on the navbar. Opening the notification center lists unread items most-recent-first with direct links to source. Per-item mark-as-read and a ""mark all read"" action.","New notifications table: (id, user_id, kind, source_id, source_kind, created_at, read_at). Server generates rows on reply / @-mention events. Per-user read state.",v1,CX-006;CX-007;CX-011,
CX-026,Cross-cutting,Notifications,"As a student or coach, I want in-app notifications when someone reacts to my comment, thread, or video reply.","Same notification center surface as CX-025. Reactions trigger lightweight notifications (probably grouped: ""3 people reacted to your comment"" rather than one per reaction).","Extends notifications table with reaction kind. Bundle near-simultaneous reactions into a single notification.",phase-2,CX-016;CX-025,
CX-027,Cross-cutting,Activity feed,"As a coach or student, I want a visual indicator in the activity feed showing where unseen activity ends, so I can quickly tell what's new since I last looked at this profile.","Items above the indicator have new activity since I last viewed this profile; items below are unchanged since my last visit. Renders as a thin divider with text like ""Caught up below this line"". The indicator updates as I scroll past items (interacting with or scrolling past an item marks it seen).","Per-(viewer, item) seen_at tracking, same shape as today's student_technique_views. Update on scroll-past or interaction. The feed query returns items with their seen status so the indicator placement is server-driven.",v1,CX-003,
CC-001,Camp/Competition,Camp creation,"As a coach, I want to create a generic camp for a student, with a name and optional description.",No date or event required.,"New camps table: id, student_id, coach_id, name, description, created_at, archived_at, competition_id (nullable).",v1,,
CC-002,Camp/Competition,Camp creation,"As a coach, I want to create a competition camp by attaching competition metadata (event name and date) to a camp.",Competition is a separate entity (CC-004) the camp links to.,Camp.competition_id FK to new competitions table.,v1,CC-001;CC-004,
CC-003,Camp/Competition,Camp creation,"As a coach, I want to promote an existing generic camp into a competition camp by linking it to a competition.","One-click action from the camp page; choose existing competition or create one on the spot.",PUT /api/camps/<id> with competition_id.,v1,CC-002,
CC-004,Camp/Competition,Competitions,"As a coach, I want to create a competition entity (name, date) that students in the gym can register for.","Competitions are gym-wide. Coach creates; students opt in.","New competitions table: id, name, date, created_by_id, created_at.",v1,,
CC-005,Camp/Competition,Competitions,"As a student, I want to register myself for an upcoming competition so my coach can build a camp for me without chasing.","Registering opens a (student, competition) record. Coach is notified via the dashboard or activity feed.","competition_registrations table: id, student_id, competition_id, registered_at, registered_by_id.",v1,CC-004,
CC-006,Camp/Competition,Competitions,"As a coach, I want to register a student for a competition on their behalf (covers the unaware / lazy / forgetful case).",Coach can also un-register.,Same table as CC-005; registered_by_id captures the actor.,v1,CC-005,
CC-007,Camp/Competition,Competitions,"As a coach, I want a per-competition page that lists every student registered for it, with quick links into each student's camp for that comp.",Sits at /competitions/<id>. Roster + camp progress summary.,GET /api/competitions/<id>/students.,v1,CC-005;CC-006,
CC-008,Camp/Competition,Camp techniques,"As a coach, I want to add techniques to a camp by picking from the global library using the same autocomplete UX as the syllabus.","Picker shows existing library techniques; clear visual indication on scoped techniques surfaced from CC-012/CC-014.","New camp_techniques table: (camp_id, technique_id, position). Reuses existing technique picker component.",v1,CC-001,
CC-009,Camp/Competition,Camp techniques,"As a coach, I want to create a new technique inside a camp that gets added to the global library at the same time, so other students can also benefit.","One of the two required choices at create time. The other is CC-010.",Create technique with scope=global + camp_technique row.,v1,CC-008,
CC-010,Camp/Competition,Camp techniques,"As a coach, I want to create a new technique inside a camp that stays scoped to this camp/student only, not added globally.","The other required choice (vs CC-009). Coach must pick at creation time; no silent default.","Create technique with scope=scoped, scoped_camp_id set. Doesn't surface in the global library list, only in the dedicated scoped view (CC-012).",v1,CC-008,
CC-011,Camp/Competition,Camp techniques,"As a coach, I want to promote a scoped technique into the global library, and pick individually which existing content (specific videos, notes) comes along vs stays scoped.","Granular picker, not all-or-nothing. Each video and note on the scoped technique has a ""bring along"" checkbox in the promote dialog.",PUT promote-to-global with payload listing which child content IDs to migrate.,v1,CC-010,
CC-012,Camp/Competition,Camp techniques,"As a coach, I want a dedicated ""scoped techniques"" view (not mingled with the global library) that lists every scoped technique across all my students, badged with the student/camp they're private to.","Sits as a sibling to the global library view. Coach uses it to audit, find candidates to promote, or find scoped techniques to copy across students.",New /scoped-techniques page; GET /api/techniques?scope=scoped.,v1,CC-010,
CC-013,Camp/Competition,Camp techniques,"As a coach in the scoped-techniques view, I want to filter and sort by student, by camp, by recency, and by content size (how many videos/notes are attached).","Helps surface promotion candidates and stale scoped techniques.",Query params on the scoped-techniques endpoint.,v1,CC-012,
CC-014,Camp/Competition,Camp techniques,"As a coach, when I'm adding a technique to a student's camp and a similar scoped technique exists for another student, I want the picker to surface it as a suggestion with one-step options to (a) copy it to this student with chosen content or (b) promote it globally with chosen content.","Surfaces at the moment of friction (add-to-camp picker), not buried in admin.",Picker shows matching scoped techniques as suggestions with action menu. Uses the same granular content-picker as CC-011.,v1,CC-012;CC-011,
CC-015,Camp/Competition,Per-camp video visibility,"As a coach, I want to hide specific library videos within a camp, without affecting the student's view of that video in other contexts (other camps, syllabus, library browse).","E.g. ""for this comp, don't watch that no-gi variation"". Hide is camp-scoped only. The camp already belongs to one student, so the override is naturally per-student.","camp_video_visibility table: (camp_id, video_id, visible BOOLEAN, set_by_id, set_at). Layered on top of videos.hidden_at; orthogonal to syllabus-scoped overrides (CX-019).",v1,CC-008;CX-019,
CC-016,Camp/Competition,Video upload,"As a coach or footage-submitting student, I want to upload a raw video directly to a competition camp (not tied to any match yet).","Use case: have comp footage but haven't broken it into matches yet, or matches are too messy to assign.","Video.parent_kind=camp, parent_id=camp_id.",v1,CC-001,
CC-017,Camp/Competition,Video upload,"As a coach or footage-submitting student, I want to upload a raw video directly to a student's profile, not tied to any camp at all.","Use case: historical footage, or a competition the coach didn't know about.","Video.parent_kind=profile, parent_id=student_id.",v1,,
CC-018,Camp/Competition,Video upload,"As a coach, I want to upload a video to a specific camp technique, choosing at upload time whether it lives only in this camp or is promoted to the global technique.","If the parent technique is scoped (not global), the promote choice is hidden; there's nothing global to promote to.",Upload flow includes scope-choice radio when parent technique is global.,v1,CC-008,
CC-019,Camp/Competition,Video upload,"As a coach, I want to attach a previously-uploaded loose video to a camp, technique, or match after the fact.","Promotion workflow for video lifecycle. Reverse of CX-018. Picker uses the unified categorized picker (CX-012) so the coach can find the video by context they remember.",PUT /api/videos/<id>/attach with new parent_kind + parent_id.,v1,CX-018,
CC-020,Camp/Competition,Matches,"As a coach or student, I want to log each match in a competition camp: result (W/L/D) and how (submission with detail, points, decision).","Students more likely to do this than coaches; this is meaningful self-recording for the student. Submission detail is free-text (e.g. ""kimura from north-south""). Points/decision capture is minimal.","matches table: id, registration_id, result (enum), method (enum), method_detail (text), occurred_at, created_by_id. Both coach and student have permission to create/edit matches on their own registration.",v1,CC-002,
CC-021,Camp/Competition,Matches,"As a coach or footage-submitting student, I want to upload raw match video against a specific match, so it's clearly associated with that result.",Multiple videos per match allowed.,"Video.parent_kind=match, parent_id=match_id.",v1,CC-020,
CC-022,Camp/Competition,Matches,"As a coach, after a competition I want to attach existing camp techniques to specific matches as analysis (e.g. ""this match -> drill kimura escape next month"").",Many-to-many: a technique can be linked to multiple matches and vice versa.,"match_techniques table: (match_id, camp_technique_id).",v1,CC-020;CC-008,
CC-023,Camp/Competition,Comments on video,"As a coach watching any competition or match video, I want to start a thread at a specific timestamp on the video to give the student feedback.",Same primitive as library video threads.,"Thread.parent_kind=video_timestamp, with anchor seconds.",v1,CX-006,
CC-024,Camp/Competition,Comments on video,"As a student, I want to reply to my coach's video thread feedback inline.",Reply lives in the same thread; inherits visibility (student + coaches).,Standard reply mechanism (CX-007).,v1,CX-007,
CC-025,Camp/Competition,Permissions,"As a coach, I want to grant a student the Footage Submitter permission so they can upload videos to their own profile and to camps they're part of.","Promotable per-student permission. Reason it's gated: video storage costs money, organisation matters, and an open free upload surface invites abuse. Distinct from being a registered competitor; non-competing students can also be Footage Submitters.","New Permission::SubmitFootage. Per-user flag, granted by coach.",v1,,
CC-026,Camp/Competition,Permissions,"As a coach, I want to revoke a student's Footage Submitter permission.","Simple toggle. Revocation does not delete past uploads. Coach may revoke if abuse is observed or storage costs become an issue.",Permission revoke endpoint.,v1,CC-025,
CC-027,Camp/Competition,Cross-camp history,"As a coach, I want a student's profile to show their camp history: count of camps done, recent match results summary, list of past and current camps with quick links in.","Avoid imputing ""most-drilled"" or other vague aggregates. Keep it concrete: counts, results, links.",Aggregate query across camps + matches for this student.,v1,CC-001;CC-020,
CC-028,Camp/Competition,Cross-camp history,"As a student, I want to see my own camp history on my profile.",Same data as CC-027; student view of their own camps.,Same query; permission gate on student-views-self.,v1,CC-027,
CC-029,Camp/Competition,Camp lifecycle,"As a coach, I want to mark a camp as completed/archived once we're done with it, so it falls out of active views but stays referenceable.","Archived camps still appear in cross-camp history, in the activity feed, and can be referenced when starting a new camp (CC-035). Do not appear in active rosters.",camp.archived_at timestamp.,v1,CC-001,
CC-030,Camp/Competition,Camp lifecycle,"As a coach, I want to start a new camp that explicitly references a previous camp as its origin, instead of trying to re-open an archived one.","E.g. ""Sam's IBJJF 2026 prep, building from Sam's Naga 2025 camp"". Replaces ""unarchive"". Avoids one camp meaning two distinct prep cycles.","camp.references_camp_id FK (nullable). New camp's UI shows ""builds on <previous camp>"" with link.",v1,CC-029,
CC-031,Camp/Competition,Footage review,"As a student, I want a dedicated ""my matches"" view on my profile that aggregates all my match footage across every camp (current and archived) in one place, so I can revisit a clip without remembering which camp it belonged to.","Reverse-chronological list of matches with result, method, camp it belonged to, and direct links into playback and any existing threads on the footage. Sits as a tab on the profile alongside Activity / Syllabus / Pinned / Camps. The discussion / suggestion / new-camp-flow value built on top is captured by CC-032 / CC-033 / CC-035 / CC-036.","Aggregate query across matches FK'd to this student via competition_registrations. Reuse existing video player and thread surfacing.",v1,CC-021,
CC-032,Camp/Competition,Footage review,"As a student watching my historical match footage, I want to start a discussion thread at a specific moment to flag it for coach attention.","Thread anchors to the video timestamp like CC-023, but initiated by the student. Goes into the activity feed for student + coaches.","Same Thread.parent_kind=video_timestamp mechanism; student permission to create threads on their own footage.",v1,CC-031;CX-006,
CC-033,Camp/Competition,Footage review,"As a student watching my own footage (current or historical), I want to suggest a technique from the global library that I think I should work on, attached to the moment in the video.","Lets the student carry the curation burden where they're best placed to (they're the one watching, they know what felt wrong). Suggestion is visible to the coach in their queue.","New technique_suggestions table: (student_id, technique_id, anchor_video_id, anchor_seconds, status enum, created_at). Status: pending / approved / replaced / dismissed.",v1,CC-031;SD-001,
CC-034,Camp/Competition,Footage review,"As a coach, I want to review a student's technique suggestion and either approve it (adds the technique to a relevant camp), replace it with a different technique I think fits better, or dismiss it.","Suggestion queue surfaces on the coach dashboard alongside reset requests and pending approvals. Acting on a suggestion records why (approval vs replacement vs dismiss).",Update technique_suggestion + add to camp_technique if approved.,v1,CC-033,
CC-035,Camp/Competition,Camp lifecycle,"As a coach starting a new camp for a student, I want to reference content from a previous camp (matches, threads, scoped techniques) directly, so the new camp builds on insight from the prior one.","Picker on new-camp creation: ""seed from previous camp?"". Coach picks which historical matches/threads/techniques to link to (not copy: link).",Link table between new camp and referenced items. Matches and threads stay attached to their original camp; new camp shows them as referenced.,v1,CC-029;CC-030,
CC-036,Camp/Competition,Footage as first-class,"As a coach, I want raw match footage from a previous camp to be referenceable as first-class content in a new camp (e.g. attach as analysis to a new camp technique).","Specifically: ""look at this clip from your last comp"" attached to a current camp's technique. Video itself stays in its original parent (the prior match); the new camp just links to it.","camp_technique_referenced_videos table: (camp_technique_id, video_id). Video visibility is checked against the student in the new context.",v1,CC-031;CC-022,
CC-037,Camp/Competition,Pinning to camp,"As a coach, I want to promote a student's pinned (self-directed) technique into one of their camps, carrying the conversation along.","The pinned technique becomes a camp_technique in the chosen camp. Notes are already shared by (student, technique) per SD-004, so they appear in the camp view automatically. Threads and comments tied to the pinned context get linked into the camp context so coach feedback stays accessible. Pinned relationship can stay (technique is both pinned and in a camp) or auto-unpin, coach's choice.","Promotion endpoint creates camp_technique. Notes auto-shared via (student, technique) key. Thread/comment linking is its own design question; default is link rather than copy.",v1,CC-008;SD-003;SD-004,
SD-001,Self-directed,Library browse,"As a student, I want to browse the full global technique library, not just techniques assigned to me.","Browse view shows all global library techniques with name, description, tags, video count. Scoped techniques (CC-010) belonging to other students are not shown.",Add Permission::BrowseLibrary to student role. New /library page for students.,v1,,
SD-002,Self-directed,Library browse,"As a student, I want to watch any video on a technique from the global library that hasn't been globally hidden by a coach.","Library context ignores syllabus-scoped per-student overrides (those only apply within the syllabus view). Camp-scoped overrides don't apply here either.",Visibility check: videos.hidden_at IS NULL only. See CX-019.,v1,SD-001;CX-019,
SD-003,Self-directed,Personal list,"As a student, I want to pin a technique from the global library to my personal ""working on"" list.","Pinning creates an activity feed event for me and is visible to my coaches as an initiative signal. Pinned techniques appear on a dedicated Pinned tab on my profile.","New table: pinned_techniques (student_id, technique_id, pinned_at). Pinned tab on profile shows the list.",v1,SD-001,
SD-004,Self-directed,Personal list,"As a student, I want to leave personal notes on a technique I've pinned.","Notes are private to me + my coaches. The same notes appear across every view of the same (student, technique) pair: syllabus, pinned, camp. There is one shared notes record per (student, technique); editing it anywhere updates it everywhere. Editing moves the technique to the top of my activity feed.","Notes live on student_techniques and are keyed by (student, technique). Pinning is a separate relationship that points at the same row (or creates one if none exists). See technical exploration doc for the pinned-notes model.",v1,SD-003,
SD-006,Self-directed,Personal list,"As a student, I want to unpin a technique from my personal list when I'm not actively working on it anymore.","Unpinning removes it from the Pinned tab. Unpinning is NOT an activity feed event (no fanfare for stopping work).",Set pinned_techniques.unpinned_at or delete the row. Notes/comments persist; can be re-surfaced by re-pinning.,v1,SD-003,
SD-008,Self-directed,Syllabus context,"As a student viewing a pinned technique that's also in my syllabus (current or past), I want to see the syllabus context inline: status, attempts, notes from when it was in my syllabus.","Surfaces alongside or above the pinned-context content, clearly separated visually.",Query for existing student_technique row(s) for this (student + technique) pair from the syllabus tab.,v1,SD-003;CX-020,
SD-009,Self-directed,Syllabus context,"As a student, I want a toggle to hide the syllabus context when it's noisy or no longer relevant.",Toggle is per-technique or per-view; remember choice in URL state.,UI toggle; preference saved in URL like existing filter chips.,v1,SD-008,
SD-010,Self-directed,Library comments,"As a student, I want to leave a private timestamped comment on a library video or technique (whether or not I've pinned it).","Leaving a comment is an activity feed event (visible to me + coaches). If the technique isn't already pinned, leaving the first comment does NOT auto-pin; pinning stays an explicit user action.",Comment with visibility=private_to_owner_and_coaches. Activity feed item created on comment.,v1,CX-007,
SD-011,Self-directed,Library comments,"As a coach, I want to reply to a student's private comment on a library video or technique.",Reply visibility matches parent (student + coaches).,Standard reply mechanism.,v1,SD-010,
SD-012,Self-directed,Library comments,"As a coach, I want to leave a broadcast comment on a library video that every student can see.","Use case: ""everyone notice the grip switch at 0:30"" or after-the-fact context where I don't want to record a whole new video.",Comment with visibility=broadcast.,v1,CX-007,
SD-013,Self-directed,Initiative signals,"As a coach, I want my dashboard's Initiative roster signal to include self-directed activity: pins, library video watches, library comments, technique suggestions.","Two open questions, to revisit in design: (a) should we expand the Initiative tab semantics or split into a richer ""initiative breakdown"" view? (b) what's the right time window?","Update Initiative tab query to union new signal sources. May want a new initiative_signals aggregation table if queries get expensive.",v1,SD-003;SD-010;CC-033,
SD-014,Self-directed,Initiative signals,"As a coach, I want to see on a student's profile what techniques they've been studying on their own recently, so I can ask about it in class.",Recent pins + recent library watches + recent comments + recent suggestions surface on the activity feed and on a profile header summary.,Activity feed item kinds (CX-003) cover this naturally; profile header summary is a small aggregation.,v1,SD-003;CX-003,
SD-015,Self-directed,Graduated students,"As a graduated student, I want to retain access to my completed syllabus as its own read-only view, so I can refer back to the coach's notes and videos on those techniques.","Syllabus tab continues to exist after graduation in read-only mode (no new attempts, no status changes). Techniques I pin from the library still work normally; syllabus context (SD-008) still surfaces.",Existing graduated_at flag stays; Syllabus tab respects it. No data deletion.,v1,CX-020,
OS-001,Ongoing student management,Attendance heatmap,"As a student, I want my profile to show my attendance heatmap (year view), same chart shape as the attempts heatmap, so I can see my training streak.",Heatmap aggregates attendance events by date.,Depends on attendance data source. Use existing AttemptHeatmap component shape.,deferred,OS-004,
OS-002,Ongoing student management,Attendance heatmap,"As a coach, I want to see each student's attendance heatmap on their profile.",Same chart as OS-001; surfaces in coach view.,Coach permission to view attendance.,deferred,OS-001,
OS-003,Ongoing student management,Rank / grading,"As a coach, I want to set and update a student's belt, stripes, and last grading date from their profile.",Same as CX-002 (this is the OSM-themed lens of it); do not implement separately.,Folds into CX-002.,duplicate-of-CX-002,CX-002,
OS-004,Ongoing student management,Attention marking,"As a coach, after a class I want to mark which students I personally worked with, so I have a record of where my time goes.","Marking is per-class if class roster is available; otherwise per-date. Low-friction is the goal: ideally one tap per student from a pre-populated class roster.","attention_events table: (coach_id, student_id, class_id nullable, marked_at).",phase-2,,
OS-005,Ongoing student management,Attention marking,"As a coach, my ""I worked with X"" log is private to me; other coaches see their own logs, not mine.",Per-coach scoping. No cross-coach visibility.,Filter attention_events by coach_id in coach views.,phase-2,OS-004,
OS-006,Ongoing student management,Attention marking,"As a coach, I want to see on a student's profile how recently I've personally worked with them, so I can balance my attention across students.","Surfaces as a recency field (""last worked with: 3 days ago"") on the student row in my roster, and on the student profile header.",Query attention_events scoped to current coach + student.,phase-2,OS-004,
OS-007,Ongoing student management,Roster signals,"As a coach, I want the Initiative / Recent / Quiet roster tabs to factor in attendance and my own attention-recency, not just syllabus updates.","Quiet = no attention from me + no student-initiative in last N days. Initiative includes self-directed activity (SD-013). SD-013's part can ship v1; the attendance/attention parts wait on OS-004/006 in phase-2.",Update queries powering the roster tabs.,phase-2,OS-006;SD-013,
OS-008,Ongoing student management,Grading day,"As a coach, I want a ""grading day"" entity where I assemble a list of students to assess on a specific date. Sillybus should suggest candidates by surfacing context (rank, time since last grading, recent attendance, recent initiative, recent attention) so I curate by elimination rather than from scratch.","Coach makes the final call; the app's job is to surface every relevant signal to inform that call, not to make recommendations directly. Suggestion view is essentially the existing roster filtered + sorted by ""ready signals"".",New grading_day + grading_day_students tables. Suggestion view is a query joining ranks + attendance + initiative + attention.,deferred,CX-001;OS-001;OS-004,
OS-009,Ongoing student management,Check-in integration,"As a coach, I want Sillybus to connect to our gym's student check-in software so attendance data flows in automatically.","Pending choice of platform + API access. May only give per-class roster, may give more.",External API integration; store only foreign user ID + non-PII attendance data.,deferred,,
OS-010,Ongoing student management,Check-in integration,"As a coach, after a class ends I want to see a list of students who checked into that class with one-click ""I worked with this student"" buttons, to minimise friction on attention marking.",Highest-value flow for attention-marking adoption. Hard-blocked on OS-009.,Requires class roster from check-in API.,deferred,OS-009;OS-004,
OS-011,Ongoing student management,Check-in integration,"As a coach, I want Sillybus to know which classes I personally teach so my attention-marking flow defaults to my classes, AND so the activity feeds and rosters I see can be scoped to students who train in classes I cover.","Hard problem: substitutes, students attending multiple classes per week with multiple coaches, no clean coach-to-student ownership. Has implications across the app for which coach sees which student's activity. Firmly in ""later"" bucket; needs further exploration before any concrete design.",Requires class schedule + coach assignment data from check-in API. Likely needs an ownership/affinity model on top.,deferred,OS-009,
